Code,Name,East,North
2421,2421,9727535.11871000000,4570337.50208000000
2422,2422,9755995.62468000000,4636762.25976000000
2423,2423,9792450.36732000000,4584878.69145000000
2424,2424,9779571.75237000000,4666701.38048000000
2425,2425,9768694.32858000000,4582941.72408000000
2426,2426,9830352.83484000000,4646020.46642000000
2427,2427,9837078.19573000000,4640659.95979000000
2428,2428,9815967.69059000000,4598522.36344000000
2430,2430,9818967.09150000000,4637916.31748000000
2431,2431,9877975.20627000000,4743467.90568000000
2439,2439,9834166.29439000000,4665869.92043000000
2440,2440,9832184.85686000000,4745183.08233000000
2443,2443,9841064.13887000000,4659803.15999000000
2444,2444,9858803.66481000000,4691402.31824000000
2445,2445,9852857.33939000000,4671109.93727000000
2446,2446,9817503.35858000000,4695272.02798000000
2447,2447,9853633.39935000000,4765412.17434000000
2448,2448,9871383.07236000000,4778491.37779000000
2449,2449,9848128.44033000000,4778726.61335000000
2450,2450,9877075.00965000000,4823975.34417000000
2452,2452,9884933.70116000000,4805161.31580000000
2453,2453,9836563.74856000000,4823572.43387000000
2454,2454,9851190.91890000000,4796707.97934000000
2455,2455,9874925.56104000000,4787279.40217000000
2456,2456,9893046.81157000000,4836626.37025000000
2460,2460,9853804.21371000000,4880172.00389000000
2464,2464,9911526.95298000000,4892453.26529000000
2465,2465,9906128.79348000000,4908545.47035000000
2466,2466,9916468.25178000000,4908839.61154000000
2469,2469,9849559.85548000000,4954044.77822000000
2470,2470,9879123.45275000000,4972258.79372000000
2471,2471,9906135.67154000000,4951004.56409000000
2472,2472,9913978.23609000000,4937174.67976000000
2473,2473,9921938.94029000000,4942678.11824000000
2474,2474,9881452.63910000000,5010589.51029000000
2475,2475,9833417.15035000000,5019139.46514000000
2477,2477,9927284.20350000000,4965836.75198000000
2478,2478,9936998.89812000000,4969293.81217000000
2479,2479,9936661.55772000000,4985590.91691000000
2480,2480,9911500.88799000000,4983498.42737000000
2481,2481,9941347.57911000000,4992970.90509000000
2482,2482,9928702.75038000000,5003105.88037000000
2483,2483,9936117.53342000000,5011908.29282000000
2484,2484,9918848.58736000000,5022952.73040000000
2485,2485,9939973.62856000000,5043586.85403000000
2486,2486,9934491.23873000000,5039258.81351000000
2487,2487,9942559.85875000000,5033013.94369000000
2488,2488,9944377.93999000000,5026354.54709000000
2489,2489,9943417.04842000000,5021400.54417000000
2490,2490,9935270.53138000000,5035202.53152000000
2500,2500,9657430.63687000000,4363572.71978000000
2502,2502,9657111.06314000000,4356168.28963000000
2505,2505,9658024.82765000000,4358686.36186000000
2506,2506,9653955.91113000000,4357539.82714000000
2508,2508,9665020.95399000000,4389465.83591000000
2515,2515,9662746.44769000000,4377565.64691000000
2516,2516,9660823.46390000000,4373566.46763000000
2517,2517,9659480.52160000000,4372217.00476000000
2518,2518,9659180.71329000000,4369058.15590000000
2519,2519,9657662.78154000000,4366925.40862000000
2525,2525,9654517.10308000000,4363827.53840000000
2526,2526,9650395.90970000000,4360547.44602000000
2527,2527,9642562.24967000000,4347038.94584000000
2528,2528,9655278.82226000000,4350339.49786000000
2529,2529,9652196.95449000000,4344236.92806000000
2530,2530,9646049.34523000000,4353834.93393000000
2533,2533,9645046.77134000000,4336533.11098000000
2534,2534,9646802.64370000000,4328591.09229000000
2535,2535,9638164.46856000000,4324647.09263000000
2536,2536,9581631.79673000000,4227790.82470000000
2537,2537,9578605.90249000000,4200092.90703000000
2538,2538,9600594.08897000000,4254027.52740000000
2540,2540,9628972.93959000000,4299210.40017000000
2541,2541,9628475.54947000000,4314848.15232000000
2545,2545,9550258.78840000000,4171863.08757000000
2546,2546,9574804.29086000000,4154931.73693000000
2548,2548,9561648.51594000000,4093152.95008000000
2549,2549,9553570.15885000000,4080287.18011000000
2550,2550,9546539.97438000000,4110551.25512000000
2551,2551,9540203.42945000000,4055231.84531000000
2555,2555,9646665.96689000000,4423055.18681000000
2556,2556,9645169.29660000000,4419035.91568000000
2557,2557,9649067.50233000000,4414048.00907000000
2558,2558,9652164.68091000000,4407413.45655000000
2559,2559,9651104.21071000000,4405818.00296000000
2560,2560,9651720.33974000000,4393518.57661000000
2563,2563,9645966.30630000000,4399352.61144000000
2564,2564,9660276.52856000000,4410852.19586000000
2565,2565,9656242.23519000000,4411686.66305000000
2566,2566,9655142.11514000000,4408171.08092000000
2567,2567,9646875.56381000000,4405794.59994000000
2569,2569,9644244.75812000000,4395825.72103000000
2570,2570,9632454.21463000000,4406103.55742000000
2572,2572,9624196.46858000000,4390783.09920000000
2573,2573,9631399.45954000000,4385835.47638000000
2574,2574,9641528.47568000000,4370903.63585000000
2575,2575,9608660.03924000000,4373540.01264000000
2576,2576,9622837.49074000000,4353836.66375000000
2577,2577,9607916.27831000000,4344604.00452000000
2578,2578,9602952.55112000000,4339103.17247000000
2580,2580,9554640.13507000000,4335084.95869000000
2581,2581,9506915.93994000000,4332363.67302000000
2582,2582,9466645.52059000000,4309292.97094000000
2583,2583,9514914.42500000000,4386693.90715000000
2584,2584,9452581.88708000000,4340869.54444000000
2585,2585,9439246.61853000000,4348828.49447000000
2586,2586,9467619.84252000000,4382780.43902000000
2587,2587,9422064.20704000000,4355200.87397000000
2588,2588,9402964.73048000000,4359055.17556000000
2590,2590,9387140.74188000000,4339149.71693000000
2594,2594,9404832.83636000000,4388823.11592000000
2601,2601,9493602.01418000000,4272463.15195000000
2602,2602,9495230.88175000000,4276064.95073000000
2603,2603,9493939.01625000000,4267173.47406000000
2604,2604,9495967.63951000000,4266879.73880000000
2605,2605,9490616.95295000000,4266918.41705000000
